x,y
3.453021762590111760e-02,-1.099129462634547416e-02
3.453021762590111760e-02,-1.099129462634547416e-02
3.453021762590111760e-02,-1.099129462634547416e-02
3.441321103707396800e-02,-1.100894306322088359e-02
3.453021762590111760e-02,-1.099129462634547416e-02
3.441321103707396800e-02,-1.100894306322088359e-02
3.441321103707396800e-02,-1.100894306322088359e-02
3.441321103707396800e-02,-1.100894306322088359e-02
3.441321103707396800e-02,-1.100894306322088359e-02
3.453021762590111760e-02,-1.099129462634547416e-02
3.441321103707396800e-02,-1.100894306322088359e-02
3.453021762590111760e-02,-1.099129462634547416e-02
3.166299433694207133e-02,-1.124660618687520208e-02
3.166299433694207133e-02,-1.124660618687520208e-02
3.166299433694207133e-02,-1.124660618687520208e-02
3.129997253806338781e-02,-1.125727368000182561e-02
3.166299433694207133e-02,-1.124660618687520208e-02
3.129997253806338781e-02,-1.125727368000182561e-02
3.129997253806338781e-02,-1.125727368000182561e-02
3.129997253806338781e-02,-1.125727368000182561e-02
3.129997253806338781e-02,-1.125727368000182561e-02
3.166299433694207133e-02,-1.124660618687520208e-02
3.129997253806338781e-02,-1.125727368000182561e-02
3.166299433694207133e-02,-1.124660618687520208e-02
3.544248228038536508e-02,-1.132423434838252842e-02
3.544248228038536508e-02,-1.132423434838252842e-02
3.544248228038536508e-02,-1.132423434838252842e-02
3.533451584056045147e-02,-1.126374449874276498e-02
3.544248228038536508e-02,-1.132423434838252842e-02
3.533451584056045147e-02,-1.126374449874276498e-02
3.533451584056045147e-02,-1.126374449874276498e-02
3.533451584056045147e-02,-1.126374449874276498e-02
3.533451584056045147e-02,-1.126374449874276498e-02
3.544248228038536508e-02,-1.132423434838252842e-02
3.533451584056045147e-02,-1.126374449874276498e-02
3.544248228038536508e-02,-1.132423434838252842e-02
3.279247281715071821e-02,-1.115342844047805503e-02
3.279247281715071821e-02,-1.115342844047805503e-02
3.279247281715071821e-02,-1.115342844047805503e-02
3.255195341174194068e-02,-1.117504059977290735e-02
3.279247281715071821e-02,-1.115342844047805503e-02
3.255195341174194068e-02,-1.117504059977290735e-02
3.255195341174194068e-02,-1.117504059977290735e-02
3.255195341174194068e-02,-1.117504059977290735e-02
3.255195341174194068e-02,-1.117504059977290735e-02
3.279247281715071821e-02,-1.115342844047805503e-02
3.255195341174194068e-02,-1.117504059977290735e-02
3.279247281715071821e-02,-1.115342844047805503e-02
3.394872162902987794e-02,-1.111329406351247925e-02
3.394872162902987794e-02,-1.111329406351247925e-02
3.394872162902987794e-02,-1.111329406351247925e-02
3.382575890921529077e-02,-1.110929663480431789e-02
3.394872162902987794e-02,-1.111329406351247925e-02
3.382575890921529077e-02,-1.110929663480431789e-02
3.382575890921529077e-02,-1.110929663480431789e-02
3.382575890921529077e-02,-1.110929663480431789e-02
3.382575890921529077e-02,-1.110929663480431789e-02
3.394872162902987794e-02,-1.111329406351247925e-02
3.382575890921529077e-02,-1.110929663480431789e-02
3.394872162902987794e-02,-1.111329406351247925e-02
3.499132903496214586e-02,-1.108345348757405237e-02
3.499132903496214586e-02,-1.108345348757405237e-02
3.499132903496214586e-02,-1.108345348757405237e-02
3.487681156700024598e-02,-1.103958142101409828e-02
3.499132903496214586e-02,-1.108345348757405237e-02
3.487681156700024598e-02,-1.103958142101409828e-02
3.487681156700024598e-02,-1.103958142101409828e-02
3.487681156700024598e-02,-1.103958142101409828e-02
3.487681156700024598e-02,-1.103958142101409828e-02
3.499132903496214586e-02,-1.108345348757405237e-02
